manufacturer,ProductCategory,Model,releaseYear,memSize,memBusWidth,gpuClock,memClock,unifiedShader,memType,Price,image-editing,vfx,3D-modeling & Rendering,AI/ML,Mining,gaming,Physics Simulations,Virtual Reality (VR) and Augmented Reality (AR),Video Encoding and Transcoding,Data Analytics and Big Data Processing
AMD,Radeon RX,460,2016,2.0,128,1108,1784,896,GDDR5,5908.0,1,0,0,0,0,0,0,0,0,0
AMD,Radeon RX,460,2017,2.0,128,1108,1784,1024,GDDR5,4358.0,1,0,0,0,0,0,0,0,0,0
AMD,Radeon RX,470,2016,4.0,256,944,1684,2048,GDDR5,4634.0,1,0,0,0,0,0,1,0,0,0
AMD,Radeon RX,470,2016,4.0,256,944,1684,1792,GDDR5,4046.0,1,0,0,0,0,0,1,0,0,0
AMD,Radeon RX,480,2016,8.0,256,1138,2034,2304,GDDR5,6174.0,1,0,0,0,0,1,0,0,0,0
AMD,Radeon RX,550,2018,4.0,128,1118,1534,512,GDDR5,6870.0,1,0,0,0,0,0,1,0,0,0
AMD,Radeon RX,550,2017,2.0,128,1118,1784,512,GDDR5,6929.0,1,0,0,0,0,0,1,0,0,0
AMD,Radeon RX,550,2018,2.0,128,1037,1534,640,GDDR5,6595.0,1,0,0,0,0,0,1,0,0,0
AMD,Radeon RX,550,2017,2.0,128,1037,1534,640,GDDR5,8313.0,1,0,0,0,0,0,1,0,0,0
AMD,Radeon RX,550,2017,2.0,128,1037,1534,512,GDDR5,4809.0,1,0,0,0,0,0,1,0,0,0
AMD,Radeon RX,560,2018,4.0,128,1108,1534,896,GDDR5,5846.0,1,0,0,0,0,1,1,0,0,0
AMD,Radeon RX,560,2017,4.0,128,1108,1784,896,GDDR5,9504.0,1,0,0,0,0,1,1,0,0,0
AMD,Radeon RX,560,2017,4.0,128,1108,1534,896,GDDR5,7479.0,1,0,0,0,0,1,1,0,0,0
AMD,Radeon RX,560,2018,4.0,128,1193,1784,1024,GDDR5,6722.0,1,0,0,0,0,1,1,0,0,0
AMD,Radeon RX,560,2017,4.0,128,1193,1784,1024,GDDR5,7448.0,1,0,0,0,0,1,1,0,0,0
AMD,Radeon RX,560,2019,4.0,256,1092,1784,1792,GDDR5,6937.0,1,0,0,0,0,1,1,0,0,0
AMD,Radeon RX,570,2018,8.0,256,1186,1784,2048,GDDR5,10862.0,1,0,0,0,1,1,1,0,0,0
AMD,Radeon RX,570,2017,4.0,256,1186,1784,2048,GDDR5,7565.0,1,0,0,0,1,1,1,0,0,0
AMD,Radeon RX,570,2017,8.0,256,1138,2134,2048,GDDR5,6722.0,1,0,0,0,1,1,1,0,0,0
AMD,Radeon RX,580,2018,8.0,256,1275,2034,2304,GDDR5,12385.0,1,0,1,0,1,1,1,0,0,0
AMD,Radeon RX,580,2018,4.0,256,1186,1784,2048,GDDR5,12516.0,1,0,1,0,1,1,1,0,0,0
AMD,Radeon RX,580,2017,8.0,256,1275,2034,2304,GDDR5,13743.0,1,0,1,0,1,1,1,0,0,0
AMD,Radeon RX,580,2018,8.0,256,1275,2034,2304,GDDR5,11406.0,1,0,1,0,1,1,1,0,0,0
AMD,Radeon RX,590,2018,8.0,256,1487,2034,2304,GDDR5,6527.0,0,1,1,1,1,1,1,0,0,0
AMD,Radeon RX,590,2020,8.0,256,1275,2034,2304,GDDR5,6344.0,0,1,1,1,1,1,1,0,0,0
AMD,Radeon RX,5300,2019,4.0,128,1688,1784,1408,GDDR5,24691.0,0,1,1,0,0,1,0,0,0,0
AMD,Radeon RX,5300,2020,3.0,96,1345,1784,1408,GDDR6,24242.0,0,1,1,0,0,1,0,0,0,0
AMD,Radeon RX,5500,2019,4.0,128,1625,1784,1408,GDDR6,27934.0,1,0,0,0,0,1,1,0,1,0
AMD,Radeon RX,5600,2020,6.0,192,1148,1534,2304,GDDR6,32013.0,1,0,0,0,0,1,1,0,1,0
AMD,Radeon RX,5700,2019,8.0,256,1698,1784,2560,GDDR6,43855.0,1,0,1,0,1,1,1,0,1,0
AMD,Radeon RX,5700,2019,8.0,256,1483,1784,2304,GDDR6,44927.0,1,0,1,0,1,1,1,0,1,0
AMD,Radeon RX,5700,2019,8.0,256,1623,1784,2560,GDDR6,42540.0,1,0,1,0,1,1,1,0,1,0
AMD,Radeon RX,6400,2022,4.0,64,1941,2034,768,GDDR6,33191.0,0,1,0,0,0,1,0,0,1,0
AMD,Radeon RX,6500,2022,4.0,64,2328,2282,1024,GDDR6,34809.0,0,0,0,0,0,1,0,0,1,0
AMD,Radeon RX,6600,2021,8.0,128,1986,2034,2048,GDDR6,38513.0,0,1,0,0,0,1,0,0,0,0
AMD,Radeon RX,6600,2021,8.0,128,1644,1784,1792,GDDR6,38906.0,0,1,0,0,0,1,0,0,0,0
AMD,Radeon RX,6600,2022,4.0,128,1718,1784,1792,GDDR6,37560.0,0,1,0,0,0,1,0,0,0,0
AMD,Radeon RX,6650,2022,8.0,128,2073,2224,2048,GDDR6,50301.0,0,1,0,0,0,1,0,0,0,0
AMD,Radeon RX,6700,2021,12.0,192,2339,2034,2560,GDDR6,61049.0,0,0,1,0,1,1,1,0,0,0
AMD,Radeon RX,6700,2021,6.0,192,2218,2034,2304,GDDR6,59223.0,0,0,1,0,1,1,1,0,0,0
AMD,Radeon RX,6700,2022,8.0,128,1718,1784,1792,GDDR6,63484.0,0,0,1,0,1,1,1,0,0,0
AMD,Radeon RX,6750,2022,12.0,192,2168,2284,2560,GDDR6,65877.0,0,0,1,0,1,1,1,0,0,0
AMD,Radeon RX,6800,2020,16.0,256,1718,2034,3840,GDDR6,71539.0,0,0,1,0,1,1,0,0,0,0
AMD,Radeon RX,6800,2020,16.0,256,1843,2034,4608,GDDR6,84413.0,0,0,1,0,1,1,0,0,0,0
AMD,Radeon RX,6800,2022,8.0,128,1818,2034,2048,GDDR6,87754.0,0,0,1,0,1,1,0,0,0,0
AMD,Radeon RX,6900,2020,16.0,256,1843,2034,5120,GDDR6,96834.0,0,0,1,0,1,1,0,0,0,0
AMD,Radeon RX,6950,2022,16.0,256,1943,2284,5120,GDDR6,101890.0,0,0,1,0,1,1,0,1,0,1
AMD,Radeon RX,7700,2022,8.0,128,1818,2284,4096,GDDR6,122258.0,0,0,1,0,1,1,0,0,0,1
AMD,Radeon RX,7800,2022,12.0,192,1818,2284,8192,GDDR6,155737.0,0,0,1,0,1,1,0,1,0,1
AMD,Radeon RX,7900,2022,16.0,256,1818,2284,12288,GDDR6,185439.0,0,0,1,0,1,1,0,1,0,1
NVIDIA,Other,710,2016,1.024,64,828,932,48,DDR3,4493.0,1,0,0,0,0,0,0,0,0,0
NVIDIA,GeForce GTX,750,2015,2.0,128,1105,1287,512,GDDR5,5309.0,1,0,0,0,0,0,0,0,0,0
NVIDIA,GeForce GTX,950,2015,2.0,128,1011,1035,640,DDR3,6931.0,1,0,0,0,0,0,0,0,0,0
NVIDIA,GeForce GTX,950,2015,2.0,128,1042,1687,768,GDDR5,10404.0,1,0,0,0,0,0,0,0,0,0
NVIDIA,GeForce GTX,950,2016,2.0,128,1044,1687,768,GDDR5,6118.0,1,0,0,0,0,0,0,0,0,0
NVIDIA,GeForce GTX,960,2015,2.0,128,1047,1287,640,GDDR5,9874.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,960,2015,2.0,128,1145,1787,1024,GDDR5,11799.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,980,2015,6.0,384,1018,1787,2816,GDDR5,12657.0,1,0,0,0,0,1,1,0,0,0
NVIDIA,GeForce GT,1030,2018,2.0,64,1170,1084,384,DDR4,7621.0,1,0,0,0,0,0,0,0,0,0
NVIDIA,GeForce GT,1030,2017,2.0,64,1246,1536,384,GDDR5,6716.0,1,0,0,0,0,0,0,0,0,0
NVIDIA,GeForce GT,1030,2018,2.0,128,1076,1284,384,GDDR5,5492.0,1,0,0,0,0,0,0,0,0,0
NVIDIA,GeForce GTX,1050,2016,4.0,128,1309,1786,768,GDDR5,15535.0,0,0,0,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1050,2016,2.0,128,1372,1786,640,GDDR5,14650.0,0,0,0,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1050,2018,3.0,96,1410,1786,768,GDDR5,14130.0,0,0,0,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1050,2018,4.0,128,1170,1786,768,GDDR5,16221.0,0,0,0,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1060,2017,5.0,160,1524,2036,1280,GDDR5,17254.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1060,2018,6.0,192,1524,2036,1280,GDDR5,17335.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1060,2018,6.0,192,1524,1035,1280,GDDR5X,17699.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1060,2016,6.0,192,1524,2036,1280,GDDR5,17508.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1060,2016,3.0,192,1524,2036,1152,GDDR5,17634.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1060,2016,3.0,192,1524,2036,1152,GDDR5,16590.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1060,2017,6.0,192,1524,2291,1280,GDDR5,17017.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1060,2018,6.0,192,1524,2036,1280,GDDR5,17953.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1070,2017,8.0,256,1625,2036,2432,GDDR5,35280.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1070,2016,8.0,256,1524,2036,1920,GDDR5,32770.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1070,2018,8.0,256,1524,1035,1920,GDDR5X,36088.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1080,2017,8.0,256,1625,1410,2560,GDDR5X,67600.0,0,1,1,0,1,1,0,0,0,0
NVIDIA,GeForce GTX,1080,2017,11.0,352,1499,1410,3584,GDDR5X,74085.0,0,1,1,0,1,1,0,0,0,0
NVIDIA,GeForce GTX,1080,2016,8.0,256,1625,1285,2560,GDDR5X,80737.0,0,1,1,0,1,1,0,0,0,0
NVIDIA,GeForce GTX,1650,2020,4.0,128,1053,1284,1024,GDDR6,14147.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1650,2020,4.0,128,1428,1534,896,GDDR6,14967.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1650,2019,4.0,128,1503,2035,896,GDDR5,14965.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1650,2019,4.0,128,1548,1534,1280,GDDR6,13992.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1650,2020,4.0,128,1428,1534,896,GDDR6,14597.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1650,2020,4.0,128,1428,1534,896,GDDR6,16019.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1660,2019,6.0,192,1158,1534,1536,GDDR6,19301.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1660,2019,6.0,192,1518,1534,1536,GDDR6,19018.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1660,2019,6.0,192,1548,1784,1408,GDDR6,17977.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1660,2019,6.0,192,1548,2035,1408,GDDR5,17937.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce RTX,2060,2019,8.0,256,1488,1784,2176,GDDR6,29203.0,0,0,1,1,0,1,0,0,0,0
NVIDIA,GeForce RTX,2060,2019,6.0,192,1383,1784,1920,GDDR6,27090.0,0,0,1,1,0,1,0,0,0,0
NVIDIA,GeForce RTX,2060,2020,6.0,192,1383,1784,1920,GDDR6,30338.0,0,0,1,1,0,1,0,0,0,0
NVIDIA,GeForce RTX,2060,2021,12.0,192,1488,1784,2176,GDDR6,28820.0,0,0,1,1,0,1,0,0,0,0
NVIDIA,GeForce RTX,2070,2018,8.0,256,1428,1784,2304,GDDR6,58634.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,2070,2020,8.0,256,948,1409,2560,GDDR6,59629.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,2070,2019,8.0,256,1623,1784,2560,GDDR6,61527.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,2080,2018,8.0,256,1533,1784,2944,GDDR6,70008.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,2080,2018,11.0,352,1368,1784,4352,GDDR6,70342.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,2080,2019,8.0,256,1668,1971,3072,GDDR6,69619.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,2080,2020,8.0,256,753,1409,3072,GDDR6,67278.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3050,2022,8.0,128,1570,1784,2560,GDDR6,27177.0,0,0,1,1,0,1,0,0,0,0
NVIDIA,GeForce RTX,3050,2022,8.0,128,1570,1784,2560,GDDR6,27262.0,0,0,1,1,0,1,0,0,0,0
NVIDIA,GeForce RTX,3050,2022,4.0,128,1563,1784,2304,GDDR6,28005.0,0,0,1,1,0,1,0,0,0,0
NVIDIA,GeForce RTX,3060,2020,8.0,256,1428,1784,4864,GDDR6,30733.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3060,2021,12.0,192,1338,1909,3584,GDDR6,32479.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3060,2022,8.0,256,1428,1784,4864,GDDR6,30663.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3060,2021,12.0,192,1338,1909,3584,GDDR6,33670.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3070,2021,8.0,256,1593,1222,6144,GDDR6X,76131.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3070,2020,8.0,256,1518,1784,5888,GDDR6,78099.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3080,2022,16.0,256,603,1534,7424,GDDR6,95231.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3080,2022,20.0,320,1353,1222,10240,GDDR6X,88961.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3080,2022,12.0,384,1278,1222,8960,GDDR6X,92571.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3080,2021,12.0,384,1383,1222,10240,GDDR6X,99120.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3080,2020,10.0,320,1458,1222,8704,GDDR6X,102819.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3090,2022,24.0,384,1578,1347,10752,GDDR6X,139728.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3090,2020,24.0,384,1413,1253,10496,GDDR6X,122552.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,4050,2023,8.0,128,1943,2284,3840,GDDR6,45648.0,0,0,1,1,0,1,0,0,0,0
NVIDIA,GeForce RTX,4060,2022,12.0,192,1943,2284,5888,GDDR6,51612.0,0,0,1,1,0,1,1,1,0,0
NVIDIA,GeForce RTX,4070,2022,12.0,192,1943,2284,7680,GDDR6,72513.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,4080,2022,20.0,320,1913,1359,14080,GDDR6X,104846.0,0,1,1,1,1,1,1,1,0,1
